Name,Gender,Nationality,Birth Year,Death Year
Ernest S. Lumsden,Male,British,,
Jorge Guillermo Luna Ercilla,Male,Argentine,,
Norman Lundin,Male,American,1938,
Evert Lundquist,Male,Swedish,1904,1994
Alexandre Lunois,Male,French,1863,1916
Francois Lunven,Male,French,1942,1971
Markus Lüpertz,Male,German,1941,
Jean Lurçat,Male,French,1892,1966
Boris Lurie,Male,American,1924,
Urs Lüthi,Male,Swiss,1947,
Nicholas Luttinger,Male,American,1942,
Max Lutzbacher,Male,Swiss,,
Mariette Lydis,Female,Austrian,1890,1970
Lynch,,American,,
George Platt Lynes,Male,American,1907,1955
George Lynn,Male,Canadian,1941,1983
Danny Lyon,Male,American,1942,
Joan Lyons,Female,American,1937,
Nathan Lyons,Male,American,1930,2016
Richard Lytle,Male,American,1935,
Ernst Mumenthaler,Male,Swiss,1901,1978
M. H,,Nationality unknown,,
Dora Maar (Henriette Theodora Markovitch),Female,French,1907,1997
Zell Mabee,,Nationality unknown,,
Mabuchi Toru,Male,Japanese,1920,1994
Joaquín  Macías,Male,Nicaraguan,,
Robert MacBryde,Male,British,1913,1966
Mino Maccari,Male,Italian,1898,1989
Rómulo Macció,Male,Argentine,1931,
Stanton Macdonald-Wright,Male,American,1890,1973
Eduardo A. MacEntyre,Male,Argentine,1929,2014
Greg MacGregor,Male,American,,
Sheldon Machlin,Male,American,1918,1975
Saša Janez Mächtig,Male,Yugoslav,1941,
Loren MacIver,Female,American,1909,1998
Heinz Mack,Male,German,1931,
August Macke,Male,German,1887,1914
Charles Rennie Mackintosh,Male,British,1868,1928
Owen F. Maclaren,Male,British,1906,1978
Angus Maclise,Male,American,1938,1979
W. E. Macnaughtan,,American,,
Wendy MacNeil,Female,American,1943,
Robert Macpherson,Male,British,1811,1872
Alen MacWeeney,Male,American,1939,
Bea Maddock,Female,Australian,1934,
Josaku Maede,Male,Japanese,1926,
Toshiro Maeda,Male,Japanese,1904,1990
Sempan Maekawa,Male,Japanese,1888,1960
Paul Maenz,Male,German,1939,
Karel Maes,Male,Belgian,1900,1974
Romeo Maestri,Male,Italian,,
Aloisio Lahyre de  Magalhães,Male,Brazilian,1927,1982
Victor Magariños,Male,Argentine,1924,1993
Vico Magistretti,Male,Italian,1920,2006
F. Maglin,,French,,
Alberto Magnelli,Male,Italian,1888,1971
Greta Magnusson Grossman,Female,American,1906,1999
René Magritte,Male,Belgian,1898,1967
William Maguire,Male,American,1943,
Robert Mahon,Male,American,1949,
Schilli Maier,Male,American,1922,1989
Leo Maillet,Male,Nationality unknown,,
Aristide Maillol,Male,French,1861,1944
Gaspard Maillol,Male,French,1880,
Lucien Mainssieux,Male,French,1885,1958
Samuel Maitin,Male,American,1928,2004
Louis Majorelle,Male,French,1859,1926
William Majors,Male,American,1930,1982
Haku Maki,Male,Japanese,1924,2000
Mitsuo Maki,Male,Japanese,1948,
Shoichi Makino,Male,Japanese,,
Zbigniew Makowski,Male,Polish,1930,
Gerard Malanga,Male,American,1943,
Robert Malaval,Male,French,1937,1980
Alberto Garcia Maldonado,Male,Mexican,,
Kazimir Malevich,Male,Russian,1878,1935
Robert Mallary,Male,American,1917,1997
Antônio Maluf,Male,Brazilian,1926,2005
Jeanne Mammen,Female,German,1890,1976
Maurice Man,Male,British,,
Man Ray (Emmanuel Radnitzky),Male,American,1890,1976
Mateo Manaure,Male,Venezuelan,1926,
Michael Mandel,Male,American,1950,
Alfred Manessier,Male,French,1911,1993
Édouard Manet,Male,French,1832,1883
Burkhard Mangold,Male,Swiss,1873,1950
Robert Mangold,Male,American,1937,
Sylvia Plimack Mangold,Female,American,1938,
Henri Manguin,Male,French,1874,1949
Manuel Manilla,Male,Mexican,1873,1900
Per Maning,Male,Norwegian,1943,
Mann,,Polish,,
C. Mann,,British,,
Sally Mann,Female,American,1951,
Jack Manning,Male,American,1920,2001
Manolo (Manuel Martínez Hugué),Male,Spanish,1872,1945
Constantine Manos,Male,Greek,1934,
Russell Manoy,Male,British,1945,
Paul Mansard,Male,French,,
John Mansbridge,Male,British,1901,1981
Matthias Mansen,Male,German,1958,
Leo Manso,Male,American,1914,1993
Paul (Pavel Mansurov) Mansouroff,Male,Russian,1896,1984
Piero Manzoni,Male,Italian,1933,1963
Giacomo Manzù,Male,Italian,1908,1991
Pio Manzù,Male,Italian,1939,1969
Kumberai Mapanda,Male,Zimbabwean,1940,
Robert Mapplethorpe,Male,American,1946,1989
Ralph Maradiaga,Male,American,1934,1985
Adriana Maraz-Bernik,Female,Yugoslav,,
Franz Marc,Male,German,1880,1916
Conrad Marca-Relli,Male,American,1913,2000
Marcel-Gaillard (Marcel Gaillard),Male,French,1886,1947
André Marchand,Male,French,1907,1997
Jean Marchand,Male,French,1883,1940
Léo Marchutz,Male,French,1903,1976
Tony Marciante,Male,American,,
Gerhard Marcks,Male,German,1889,1981
Louis Marcoussis,Male,Polish,1883,1941
Brice Marden,Male,American,1938,
André Mare,Male,French,1885,1932
Maréchal,Male,French,1928,
Ludovico Mares,Male,Italian,,
Boris Margo,Male,American,1902,1995
Richard M. Margolis,Male,American,1943,
Joseph Margulies,Male,American,1896,
Enzo Mari,Male,Italian,1932,
Maria Martins,Female,Brazilian,1894,1973
Mariano (Mariano Rodríguez),Male,Cuban,1912,1990
John Marin,Male,American,1870,1953
Filippo Tommaso Marinetti,Male,Italian,1876,1944
Marino Marini,Male,Italian,1901,1980
Tom Marioni,Male,American,1937,
Marisol (Marisol Escobar),Female,Venezuelan,1930,2016
Henry Mark,Male,American,1915,
Jyrki Markkanen,,Finnish,1956,
Dorothy F. Markle,Female,American,,
Harry C. Markle,Male,American,,
Ronald Markman,Male,American,1931,
Gino Marotta,Male,Italian,1935,2012
Walter Marques,Male,Brazilian,,
Albert Marquet,Male,French,1875,1947
Anne Steele Marsh,Female,American,1901,1995
Reginald Marsh,Male,American,1898,1954
Takis Marthas,Male,Greek,1905,1965
Agnes Martin,Female,American,1912,2004
Charles Martin,Male,American,1952,
D. S. Martin,,American,1916,
Fletcher Martin,Male,American,1904,1979
Fred Martin,Male,American,1927,
Ira Martin,Male,American,1886,1960
Kenneth Martin,Male,British,1905,1984
Mary Martin,Female,British,1907,1969
Paul Martin,Male,British,1864,1944
Philip John Martin,Male,British,1927,2014
Ezio Martinelli,Male,American,1913,1981
Eugene Martinez,Male,American,1925,
Luis Martínez Pedro,Male,Cuban,1910,1990
Maria Martinez,Female,American,1887,1980
Martinez Pintao (Manuel Martinez Pintao),Male,Mexican,1875,
Ricardo Martinez,Male,Argentine,1923,
Raúl Martínez,Male,Cuban,1927,1995
Aldemir Martins,Male,Brazilian,1922,2006
Mort N. Marton,Male,American,1918,
Michael Martone,Male,American,1941,
Antonio Martorell,Male,American,1939,
L. Marval,,French,,
Charles Marville,Male,French,1816,1879
Robert E. Marx,Male,American,,
Maryan S. Maryan,Male,American,1927,1977
Frans Masereel,Male,Belgian,1889,1972
Dennis Masi,Male,American,1942,
Alice Trumbull Mason,Female,American,1912,1986
Raymond Mason,Male,British,1922,2010
Kristen Corinne Masri,Female,American,,
John Massey,Male,American,1931,
G. Massiot,,Nationality unknown,,
André Masson,Male,French,1896,1987
Luigi Massoni,Male,Italian,1929,
Umberto Mastroianni,Male,Italian,1910,1988
Gregory Masurovsky,Male,American,1929,2009
Ewald Mataré,Male,German,1887,1965
Margrethe Mather,Female,American,1885,1952
Georges Mathieu,Male,French,1921,2012
Bruno Mathsson,Male,Swedish,1907,1988
Marcel Mathys,Male,Swiss,1933,
Henri Matisse,Male,French,1869,1954
Vera Matiukh,Female,Russian,1912,
Mikhail Matiushin,Male,Russian,1861,1934
Fujio Matsugi,Male,Japanese,,
Keizo Matsui,Male,Japanese,,
Akira Matsumoto,Male,Japanese,1936,
Toshio Matsumoto,Male,Japanese,1932,
Matsumura Sadaiku,Male,Japanese,1936,
Shin Matsunaga,Male,Japanese,1940,
Matsushita Electric Corp.,,Japanese,1918,
Roberto Matta,Male,Chilean,1911,2002
Herbert Matter,Male,American,1907,1984
Leni Matthaei,Female,German,1873,1981
Holger Matthies,Male,German,1940,
Claudio Mattioli,Male,Nationality unknown,,
Charles Mattox,Male,Nationality unknown,,
Jan Matulka,Male,American,1890,1972
Maxine Emile Louis Maufra,Male,French,1861,1918
Maull and Polyblank,,British,,
E. Maunoury,,French,,
Jacques Mauny,Male,French,1893,1962
Alfred H. Maurer,Male,American,1868,1932
Ingo Maurer,Male,German,1932,
Neil Maurer,Male,American,1941,
Charles Maurin,Male,French,1856,1914
Achille Mauzan,,Italian,,
Almir Mavignier,Male,Brazilian,1925,
Peter Max,Male,American,1937,
Paul Mayen,Male,American,1918,2000
Elaine Mayes,Female,American,1938,
Roger Mayne,Male,British,1929,2014
Fernando Maza,Male,Argentine,,
Michael Mazur,Male,American,1935,2009
Luis Mazzey,Male,,1895,1983
Azaria Mbatha,Male,South African,1941,
Dr. John McArthur,Male,British,1901,1996
Jay McCafferty,Male,American,1948,
Henry McCarter,Male,American,1864,1942
Byron McClintock,Male,American,1930,
Allan McCollum,Male,American,1944,
Leonard McCombe,Male,American,1923,
B. B. Mccormick,,Nationality unknown,,
Ann McCoy,Female,American,1946,
John McCracken,Male,American,1934,2011
Charles H. McCrea,Male,American,,
Jean McEwen,Male,Canadian,1923,1999
Rory McEwen,Male,British,1932,1982
Elizabeth McFadden,Female,American,1912,
Lawrence McFarland,Male,American,1942,
James McGarrell,Male,American,1930,
Kenneth McGowan,Male,American,1940,1986
Byron McKeeby,Male,American,1936,
Rhondal McKinney,Male,American,1948,
John McLaughlin,Male,American,1898,1976
Bruce McLean,Male,British,1944,
Richard McLean,Male,American,1934,2014
Elizabeth McLennan,Female,Canadian,,
Michael McLoughlin,Male,American,1936,
J. W. McManigal,,American,,
George McNeil,Male,American,1908,1995
William C. McNulty,Male,American,1889,1963
Larry Mcpherson,Male,American,1943,
John McVicker,Male,American,,
Frederick Edward McWilliam,Male,British,1909,1992
John McWilliams,Male,American,1941,
Roderick Mead,Male,American,1900,1971
Clement Meadmore,Male,Australian,1929,
Friedrich Meckseper,Male,German,,
Sol Mednick,Male,Nationality unknown,,
Raul Meel,Male,Estonian,,
Howard Mehring,Male,American,1931,1978
Hans Meid,Male,German,1883,1957
Ludwig Meidner,Male,German,1884,1966
Richard Meier,Male,American,1934,
Leo Meissner,Male,Nationality unknown,1895,1977
Aleksandr Danilovich Melamid,Male,American,1945,
F. M. Melchers,Male,Nationality unknown,1848,1944
Mohamed Melehi,Male,Moroccan,1936,
José Meléndez Contreras,Male,American,1921,1998
Melendreras,,Spanish,,
Waldimiro Melgarejo Muñoz,Male,Argentine,1908,1979
Georges Méliès,Male,French,1861,1938
John Melin,Male,Swedish,1921,
Xavier Mellery,Male,Belgian,1845,1921
Fausto Melotti,Male,Italian,1901,1986
Pierre Mendell,Male,German,1929,
Leopoldo Méndez,Male,Mexican,1902,1969
Ana Mendieta,Female,American,1948,1985
Alessandro Mendini,Male,Italian,1931,
Antonio Mendoza,Male,American,1941,
Edward Meneeley,Male,American,1927,
Leopoldo Menegatti,Male,Italian,,
Wendy Meng,Female,American,1944,
Roberto Menghi,Male,Italian,1920,
Carl (Carlo) Mense,Male,German,1886,1965
Jan Menses,Male,Canadian,1933,
Mercer,,British,,
Carlos Mérida,Male,Guatemalan,1891,1984
Richard Merkin,Male,American,1938,2009
Knud Merrild,Male,American,1894,1954
Hugh Merrill,Male,American,1949,
Roger Mertin,Male,American,1942,2001
Gerhard Merz,Male,German,1947,
Mario Merz,Male,Italian,1925,2003
Felix Meseck,Male,German,1883,1955
E.L.T. (Edouard Léon Théodore) Mesens,Male,Belgian,1903,1968
Bogdan-Kiar Mesko,Male,Yugoslav,,
Jean Messagier,Male,French,1920,1999
Gary Metz,Male,American,1941,
Jean Metzinger,Male,French,1883,1956
Ray K. Metzker,Male,American,1931,2014
Erno Metzner,Male,German,,
Sheila Metzner,Female,American,1939,
George Meunier,Male,French,1869,1942
Henri Meunier,Male,Belgian,1873,1922
Tommy Mew,Male,American,,
Floris Meydam,Male,Dutch,1919,
Melissa Meyer,Female,American,1947,
Hans Meyer-Petersen,Male,Danish,1937,
Joel Meyerowitz,Male,American,1938,
Robert Meyers,Male,American,1931,
Guillermo Meza,Male,Mexican,1917,1997
Lucjan Mianowski,Male,Polish,,
Duane Michals,Male,American,1932,
Henri Michaux,Male,French,1899,1984
Robert Michel,Male,German,1897,1983
Midorikawa Yoichi,Male,Japanese,1915,2001
Mielatz,Male,American,1864,1919
Herbert Migdoll,Male,American,,
Miguel,,Spanish,,
James Miho,Male,American,1933,
Tomoko Miho,Female,American,1931,2012
Fumiko Miki,Female,Japanese,,
Jun Miki,Male,Japanese,1919,1992
Tomio Miki,Male,Japanese,1937,1978
Josef Mikl,Male,Austrian,1929,2008
Eleanore Mikus,Female,American,1927,
Stephen R. Milanowski,Male,American,1953,
M. A. Miles,,Nationality unknown,,
Gjon Mili,Male,American,1904,1984
Raùl Miliàn,Male,Cuban,1914,1984
Pedro Millar,Male,Chilean,1930,2014
Manolo Millares,Male,Spanish,1926,1972
Earl Miller,Male,American,1930,
John Miller,Male,American,1948,
Kenneth Hayes Miller,Male,American,1876,1952
Melissa Miller,Female,American,1951,
Nachume Miller,Male,Israeli,1949,1998
P. A. Miller,,American,,
William H. Miller Jr.,Male,American,,
Peter Caldwell Millett,Male,American,1949,
Edward Millman,Male,American,1907,1964
John Mills,Male,American,1842,1916
Lev Mills,Male,American,1940,
David Brown Milne,Male,Canadian,1882,1953
Keith Milow,Male,British,1945,
Zwi Milshtein,Male,Israeli,1934,
Peter Milton,Male,American,1930,
Marcello Minale,Male,Italian,1938,2000
Keiko Minami,Female,Japanese,1911,2004
André Minaux,Male,French,1923,
Stephen Mindel,Male,American,1938,
Vera Bocayuva Mindlin,Female,Brazilian,,
Roger Minick,Male,American,1944,
Thomas Minkler,Male,Nationality unknown,1933,1994
George Minne,Male,Belgian,1867,1941
Marilyn Minter,Female,American,1948,
Marta Minujín,Male,Argentine,1943,
Luciano Miori,Male,Italian,1922,2006
Jean Miotte,Male,French,1926,
Victor Mira,Male,Spanish,1949,
Antoni Miralda,Male,Spanish,1942,
Mirko,,Italian,,
Joan Miró,Male,Spanish,1893,1983
Rodolfo (Rodolfo Mishaan Pinto) Mishaan,Male,Guatemalan,1924,
Léonard Misonne,Male,Belgian,1870,1943
Richard Misrach,Male,American,1949,
Mary Miss,Female,American,1944,
Misztrik De Monda,Male,Russian,,
Julio Mitchel,Male,Cuban,1942,
Joan Mitchell,Female,American,1925,1992
Allan Mitelman,Male,Australian,,
Dmitrii Mitrokhin,Male,Russian,1883,1973
Mitsubishi Electric Corp.,,Japanese,1921,
Petr Miturich,Male,Russian,,
Akira Miyoshi,Male,Japanese,1919,
Jan Młodożeniec,Male,Polish,1929,2000
Jerry Moberg,Male,American,,
Evsa Model,Male,American,1900,1976
Lisette Model,Female,American,1901,1983
Paula Modersohn-Becker,Female,German,1876,1907
Amedeo Modigliani,Male,Italian,1884,1920
Tina Modotti,Female,Italian,1896,1942
Alfred Keane Moe,Male,American,,
Siegfried Moeller,Male,German,,
Rudolf Moethe,Male,German,,
Curtis Moffat,Male,British,1887,1949
Paul Mogensen,Male,American,1941,
Bill Moggridge,Male,British,1943,2012
Jean Mohler,Male,French,,
László Moholy-Nagy,Male,American,1895,1946
Benjamín Molina,Male,Mexican,1914,
Guido Molinari,Male,Canadian,1933,2004
Moline,,Nationality unknown,,
Eduardo Moll,Male,Peruvian,1929,
Johannes Molzahn,Male,German,1892,1965
Sahlan Momo,Male,Italian,1944,
Ana Maria Moncalvo,Female,Argentine,,
Piet Mondrian,Male,Dutch,1872,1944
Claude Monet,Male,French,1840,1926
Jay Monroe,Male,American,1926,
Gustavo Monroy,Male,Mexican,1959,
Rubén Ortiz-Torres,Male,Mexican,1964,
Roberto Montenegro,Male,Mexican,1885,1968
Jan Montyn,Male,Dutch,1924,
Robert Moon,Male,American,1941,
John D. Mooney,Male,American,1941,
Claire (Claire Mahl) Moore,Female,American,1917,1988
David Moore,Male,American,1918,
Frank Moore,Male,American,1953,2002
Henry Moore,Male,British,1898,1986
Margaret Ann Moorman,Female,American,1948,
Max Oppenheimer (MOPP),Male,American,1885,1954
"Francisco (""Pancho"") Mora",Male,Mexican,1922,2002
Otto Morach,Male,Swiss,1887,1973
Jesus Morales,Male,Mexican,,
Armando Morales Sequeira,Male,Nicaraguan,1927,2011
Giorgio Morandi,Male,Italian,1890,1964
Ibi Trier Mørch,Male,Danish,1910,1980
Luc-Albert Moreau,Male,French,1882,1948
François Morellet,Male,French,1926,2016
Alberico Morena,Male,Italian,,
Mattia Moreni,Female,Italian,1920,
Rafael Moreno,Male,Cuban,1887,1955
Gabriel Morera,Male,Venezuelan,1933,
Carlo Moretti,Male,Italian,1934,
Barbara Morgan,Female,American,1900,1992
Maud Morgan,Female,American,1903,1999
Norma G. Morgan,Female,American,1928,
Yoshitoshi Mori,Male,Japanese,1897,1992
Morillon,,French,,
Shigeyoshi Morioka,Male,Japanese,1941,
Berthe Morisot,Female,French,1841,1895
Morita Yasuji,Male,Japanese,1912,1960
Andreas Moritz,Male,German,1901,1983
Masamitsu Moriwaki,Male,Japanese,1924,
Daido Moriyama,Male,Japanese,1938,
Malcolm Morley,Male,American,1931,
George Morris,Male,British,,
Carl Morris,Male,American,1911,
G. R. Morris,,British,,
George L. K. Morris,Male,American,1905,1975
Hilda Morris,Female,American,1911,1991
Michael Morris,Male,Canadian,,
Robert Morris,Male,American,1931,
Wright Morris,Male,American,1910,1998
Andrew Morrison,Male,American,1939,
Jonathan Morse,Male,American,1948,
Richard Mortensen,Male,Danish,1910,1993
Ree Morton,Female,American,1936,1977
Don Mortrude,Male,American,,
Mike Mosco,Male,American,1921,
Victor Moscoso,Male,American,1936,
Jill Moser,Female,American,1956,
Koloman Moser,Male,Austrian,1868,1918
Ed Moses,Male,American,1926,
Robert Moskowitz,Male,American,1935,
Charles William Moss,Male,American,1923,
Marlow Moss,Female,British,1890,1958
Olivier Mosset,Male,Swiss,1944,
Robert Motherwell,Male,American,1915,1991
Sadamasa Motonaga,Male,Japanese,1922,2011
Robert Mottar,Male,American,,
Deborah de Moulpied,Female,American,1933,
Edward Moulthrop,Male,American,1916,
Olivier Mourgue,Male,French,1939,
Stanley Mouse,Male,American,1940,
Seong Moy,Male,American,1921,2013
Marcello Muccini,Male,Italian,1926,1978
Alphonse Mucha,Male,Czech,1860,1939
Georg Muche,Male,German,1895,1987
James Mudd,Male,British,1821,1906
Grant Mudford,Male,Australian,1944,
Otto Mueller,Male,German,1874,1930
Robert Emmett Müller,Male,American,,
John Muench,Male,American,1914,1993
Shuji Mukai,Male,Japanese,1939,
Thomas Mukarobgwa,Male,Zimbabwean,1924,1999
Mark W. Mulhern,Male,American,1951,
Michael Mullen,Male,American,1937,
C. O. Muller,,German,1893,
Fridolin Müller,Male,Swiss,1926,
Grégoire Müller,Male,Swiss,1947,
Jan Müller,Male,American,1922,1958
Josef Felix Muller,Male,Nationality unknown,,
Robert Müller,Male,Swiss,1920,2003
Josef Müller-Brockmann,Male,Swiss,1914,1996
Hans Müller-Dachau,Male,German,1877,1925
Peter Müller-Munk,Male,American,1904,1967
Shizuko Muller-Yoshikawa,Female,Swiss,1934,
Gerd Alfred Müller,Male,German,1932,
Lee Mullican,Male,American,1919,1998
Matt Mullican,Male,American,1951,
Ferdinand Mulnier,Male,French,,
Shiko Munakata,Male,Japanese,1903,1975
Bruno Munari,Male,Italian,1907,1998
Edvard Munch,Male,Norwegian,1863,1944
Janis Muncis,Male,Russian,1886,1955
Robert Munford,Male,American,1925,1991
Martin Munkácsi,Male,American,1896,1963
Joe Munroe,Male,American,,
Richard Munsell,Male,American,1909,
Maina-Miriam Munsky,Female,German,1943,1999
Donald Munson,Male,American,1945,
Gabriele Münter,Female,German,1877,1962
Murai Masanari,Male,Japanese,,
Reiko Tanabe,Female,Japanese,1934,
Nickolas Muray,Male,American,1892,1965
Walter Tandy Murch,Male,American,1907,1967
Zühtü Müritoğlu,Male,Turkish,1906,1992
Catherine Murphy,Female,American,1946,
Gerald Murphy,Male,American,1888,1964
John J. A. Murphy,Male,American,1888,1967
Michaela Allan Murphy,Male,American,1952,
Colin Murray,Male,British,,
Elizabeth Murray,Female,American,1940,2007
Robert Murray,Male,Nationality unknown,,
Edo Murtic,Male,Yugoslav,1921,2005
Isaac Lane Muse,Male,American,1906,1996
Antonio Zoran Music,Male,Italian,1909,2005
Peter Mussfeldt,Male,Ecuadorian,1938,
Toby Mussman,Male,American,1940,
Eadweard J. Muybridge,Male,American,1830,1904
Carl Mydans,Male,American,1907,
Jerome Myers,Male,Nationality unknown,1867,1940
Donia Nachshen,Female,British,,
Nadar (Gaspard-Félix Tournachon),Male,French,1820,1910
Elie Nadelman,Male,American,1882,1946
Kazumasa Nagai,Male,Japanese,1929,
Juichi Nagano,Male,Japanese,,
Naganuma Koichi,Male,Japanese,,
Takeo Nagasawa,Male,Japanese,,
John Nagel,Male,American,1942,
Reinhold Nägele,Male,German,1884,1972
Fred Nagler,,Nationality unknown,1891,1983
Nagwaraba,Male,Australian,,
Masatoshi Naitoh,Male,Japanese,1938,
Naoto Nakagawa,Male,Japanese,1944,
Makoto Nakamura,Male,Japanese,1926,
Yoshinobu Nakamura,Male,Japanese,,
Iwata Nakayama,Male,Japanese,1895,1949
Hitoshi Nakazato,Male,Japanese,1936,2010
